,,0
Genre___Print,price_usd_prev_10_mean,-0.11683377777227898
Tier___4,height,-0.11681141122326621
height,Tier___4,-0.11681141122326621
price_usd_prev_7_mean,elite_award_not_received,-0.11622010317505843
elite_award_not_received,price_usd_prev_7_mean,-0.11622010317505843
Country___France,grad,-0.1160660529586306
grad,Country___France,-0.1160660529586306
no_degree,gender_female,-0.1153829237371297
gender_female,no_degree,-0.1153829237371297
Tier___4,width,-0.11503550056992551
width,Tier___4,-0.11503550056992551
Genre___Print,price_usd_prev_5_max,-0.11458452358527997
price_usd_prev_5_max,Genre___Print,-0.11458452358527997
gender_male,fest_biennal,-0.11431107437946103
fest_biennal,gender_male,-0.11431107437946103
Tier___3,Tier___2,-0.1140433207293336
Tier___2,Tier___3,-0.1140433207293336
price_inch_prev_7_min,Genre___Others,-0.1133728205372788
Genre___Others,price_inch_prev_7_min,-0.1133728205372788
artwork_order,min_price,-0.11305387511918531
min_price,artwork_order,-0.11305387511918531
Genre___Print,artwork_order,-0.11243887537776696
artwork_order,Genre___Print,-0.11243887537776696
elite_award_not_received,price_inch_prev_7_max,-0.11213659225150349
price_inch_prev_7_max,elite_award_not_received,-0.11213659225150349
age,log10_estimate_geo_mean_usd,-0.11133620499738762
log10_estimate_geo_mean_usd,age,-0.11133620499738762
public_inst,Genre___Photography,-0.11114541798504035
Genre___Photography,public_inst,-0.11114541798504035
case_id,edu_domestic,-0.111084121307135
edu_domestic,case_id,-0.111084121307135
cnt_mean,height,-0.11107069345620955
height,cnt_mean,-0.11107069345620955
cot_mean,height,-0.11105774860322479
height,cot_mean,-0.11105774860322479
Genre___Sculpture,estimate_max_usd,-0.11093537998395667
estimate_max_usd,Genre___Sculpture,-0.11093537998395667
width,cnt_mean,-0.11086835296219974
cnt_mean,width,-0.11086835296219974
Genre___Sculpture,estimate_center_usd,-0.11076300808021484
estimate_center_usd,Genre___Sculpture,-0.11076300808021484
cot_mean,width,-0.11067422476955759
width,cot_mean,-0.11067422476955759
price_usd_prev_5_max,elite_award_not_received,-0.11062804617182952
elite_award_not_received,price_usd_prev_5_max,-0.11062804617182952
estimate_min_usd,Genre___Sculpture,-0.11030361835778615
Genre___Sculpture,estimate_min_usd,-0.11030361835778615
ranking,Continent___North_America,-0.1102677457214701
ranking,Country___USA,-0.1102677457214701
Continent___North_America,ranking,-0.1102677457214701
Country___USA,ranking,-0.1102677457214701
Continent___Europe,Continent___East_Asia,-0.11015121936803061
Continent___East_Asia,Continent___Europe,-0.11015121936803061
group_show,Genre___Sculpture,-0.11014882012055698
Genre___Sculpture,group_show,-0.11014882012055698
price_usd_prev_7_mean,Genre___Print,-0.11004593760213745
Genre___Print,price_usd_prev_7_mean,-0.11004593760213745
Country___Swiss,Continent___North_America,-0.11002867174940895
Country___USA,Country___Swiss,-0.11002867174940895
Country___Swiss,Country___USA,-0.11002867174940895
Continent___North_America,Country___Swiss,-0.11002867174940895
elite_award_not_received,price_inch_prev_3_mean,-0.10985410540888388
price_inch_prev_3_mean,elite_award_not_received,-0.10985410540888388
estimate_range_usd,Genre___Sculpture,-0.10923780698510827
Genre___Sculpture,estimate_range_usd,-0.10923780698510827
medianprice_year,Tier___4,-0.10808552898861659
Tier___4,medianprice_year,-0.10808552898861659
Country___USA,Country___Dutch,-0.10753389826796715
Country___Dutch,Country___USA,-0.10753389826796715
Continent___North_America,Country___Dutch,-0.10753389826796715
Country___Dutch,Continent___North_America,-0.10753389826796715
Country___Austria,Country___UK,-0.10748052890994196
Country___UK,Country___Austria,-0.10748052890994196
price_usd_prev_5_mean,elite_award_not_received,-0.10747159735092797
elite_award_not_received,price_usd_prev_5_mean,-0.10747159735092797
Country___USA,no_degree,-0.1072405824743504
no_degree,Continent___North_America,-0.1072405824743504
Continent___North_America,no_degree,-0.1072405824743504
no_degree,Country___USA,-0.1072405824743504
price_usd_prev_10_min,age,-0.10581798747955103
age,price_usd_prev_10_min,-0.10581798747955103
non_elite_school,cnt_max,-0.1054699966670587
cnt_max,non_elite_school,-0.1054699966670587
log10_estimate_geo_mean_usd,Country___Germany,-0.10544652666589246
Country___Germany,log10_estimate_geo_mean_usd,-0.10544652666589246
group_show,case_id,-0.10507878884047195
case_id,group_show,-0.10507878884047195
price_inch_prev_5_max,elite_award_not_received,-0.10494625558582824
elite_award_not_received,price_inch_prev_5_max,-0.10494625558582824
grad,Continent___Europe,-0.10491376720989729
Continent___Europe,grad,-0.10491376720989729
log10_estimate_geo_mean_usd,Country___Others,-0.10464601583769019
Country___Others,log10_estimate_geo_mean_usd,-0.10464601583769019
edu_both,non_elite_school,-0.10450301651426958
non_elite_school,edu_both,-0.10450301651426958
public_inst,Country___France,-0.10433621624609092
Country___France,public_inst,-0.10433621624609092
height,price_inch_prev_10_mean,-0.10429760040932014
price_inch_prev_10_mean,height,-0.10429760040932014
Tier___3,Genre___Print,-0.10415612975250911
Genre___Print,Tier___3,-0.10415612975250911
price_usd_prev_5_mean,Genre___Print,-0.10353249442382856
Genre___Print,price_usd_prev_5_mean,-0.10353249442382856
Continent___Europe,Country___China,-0.1033099219882561
Country___China,Continent___Europe,-0.1033099219882561
Country___USA,Continent___East_Asia,-0.10319927256613115
Continent___East_Asia,Country___USA,-0.10319927256613115
Continent___East_Asia,Continent___North_America,-0.10319927256613115
Continent___North_America,Continent___East_Asia,-0.10319927256613115
ranking,cot_mean,-0.10316133905687824
cot_mean,ranking,-0.10316133905687824
Tier___4,Country___Austria,-0.102645792496638
Country___Austria,Tier___4,-0.102645792496638
grad,edu_abroad,-0.10185715524556344
edu_abroad,grad,-0.10185715524556344
edu_both,no_degree,-0.10137078745851981
no_degree,edu_both,-0.10137078745851981
non_elite_school,cot_max,-0.10135360371769649
cot_max,non_elite_school,-0.10135360371769649
Continent___Europe,elite_school,-0.10134759056043445
elite_school,Continent___Europe,-0.10134759056043445
non_elite_school,max_price,-0.10094270367368068
max_price,non_elite_school,-0.10094270367368068
price_inch_prev_5_min,Genre___Others,-0.10069655431568433
Genre___Others,price_inch_prev_5_min,-0.10069655431568433
ranking,cnt_mean,-0.10045006559993598
cnt_mean,ranking,-0.10045006559993598
min_price,private_inst,-0.10026963593609411
private_inst,min_price,-0.10026963593609411
price_usd_prev_3_max,Genre___Print,-0.09992254926649427
Genre___Print,price_usd_prev_3_max,-0.09992254926649427
Country___Swiss,log10_estimate_geo_mean_usd,-0.09991734154528738
log10_estimate_geo_mean_usd,Country___Swiss,-0.09991734154528738
width,price_inch_prev_10_mean,-0.09955223291561961
price_inch_prev_10_mean,width,-0.09955223291561961
min_price,Genre___Others,-0.09943530046490062
Genre___Others,min_price,-0.09943530046490062
ranking,max_price,-0.09901758714062917
max_price,ranking,-0.09901758714062917
edu_both,private_inst,-0.09868251376598887
private_inst,edu_both,-0.09868251376598887
grad,ranking,-0.0986767425307052
ranking,grad,-0.0986767425307052
Continent___Europe,cnt_max,-0.09853758790416489
cnt_max,Continent___Europe,-0.09853758790416489
Tier___4,cnt_median,-0.09800779537546186
cnt_median,Tier___4,-0.09800779537546186
case_id,undergrad,-0.09756516621358272
undergrad,case_id,-0.09756516621358272
age,case_id,-0.09753116944866168
case_id,age,-0.09753116944866168
Genre___Sculpture,artwork_order,-0.09726660588213364
artwork_order,Genre___Sculpture,-0.09726660588213364
private_inst,Country___France,-0.09709507094893906
Country___France,private_inst,-0.09709507094893906
gender_female,Genre___Photography,-0.09706086858980037
Genre___Photography,gender_female,-0.09706086858980037
Genre___Sculpture,price_usd,-0.0969163611928356
price_usd,Genre___Sculpture,-0.0969163611928356
Country___China,Continent___North_America,-0.09678974830418129
Country___China,Country___USA,-0.09678974830418129
Continent___North_America,Country___China,-0.09678974830418129
Country___USA,Country___China,-0.09678974830418129
cot_mean,Continent___Europe,-0.09661458999940858
Continent___Europe,cot_mean,-0.09661458999940858
public_inst,Genre___Sculpture,-0.09641888561233049
Genre___Sculpture,public_inst,-0.09641888561233049
price_usd_prev_3_max,elite_award_not_received,-0.09565629631552804
elite_award_not_received,price_usd_prev_3_max,-0.09565629631552804
case_id,Genre___Others,-0.0953317956966262
